time,dt,mCS_xx,mCS_yy,mCS_zz,mD,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ma,mb,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080000669289236,1.3578472172798e-08,1.1734799500911e-08,7.85931435293e-05,5.0955835474684e-07,-1.5286745687095e-07,-1.5286747213703e-07,5.0955835474676e-07,-1.5286745687091e-07,-1.5286747213697e-07,4.6369954682287e-06,0.0068395682956061,673240,22406,50,2
0.00025,0.00015,0.2000017649454,3.3947076509008e-08,2.9338126008161e-08,7.8593144407895e-05,1.2738964710818e-06,-3.8216881743936e-07,-3.8216885560265e-07,1.2738964710813e-06,-3.8216881743919e-07,-3.8216885560241e-07,4.6369955200658e-06,0.0068395682956061,673240,22406,49,2
0.000475,0.000225,0.38000361480301,6.4499913697139e-08,5.5743452405566e-08,7.8593146869318e-05,2.4204049600637e-06,-7.261212526371e-07,-7.2612132514283e-07,2.4204049600623e-06,-7.2612125263653e-07,-7.2612132514204e-07,4.6369956652898e-06,0.0068395682956061,673240,22406,49,2
0.0008125,0.0003375,0.65000685392946,1.1032700049041e-07,9.5350812485909e-08,7.8593153305589e-05,4.1401706511217e-06,-1.2420507927203e-06,-1.2420509167269e-06,4.140170651118e-06,-1.2420507927187e-06,-1.2420509167247e-06,4.6369960450297e-06,0.0068395682956061,673240,22406,48,2
0.00131875,0.00050625,1.0550127573937,1.7906789498062e-07,1.5476477715473e-07,7.8593168845765e-05,6.7198258423177e-06,-2.0159470992334e-06,-2.0159473004694e-06,6.7198258423082e-06,-2.0159470992294e-06,-2.0159473004638e-06,4.6369969619001e-06,0.0068395682956061,673240,22406,48,2
0.002078125,0.000759375,1.6625239633462,2.8217594468078e-07,2.4388871294556e-07,7.859320576312e-05,1.0589323602082e-05,-3.1767960509206e-06,-3.1767963679487e-06,1.0589323602058e-05,-3.1767960509109e-06,-3.1767963679351e-06,4.6369991400241e-06,0.0068395682956061,673240,22406,48,2
0.0032171875,0.0011390625,2.5737960615356,4.3683351010048e-07,3.7758508281249e-07,7.8593291387867e-05,1.6393603931274e-05,-4.9180795853676e-06,-4.9180800759596e-06,1.6393603931219e-05,-4.9180795853444e-06,-4.9180800759274e-06,4.6370041918842e-06,0.0068395682956061,673240,22406,48,2
0.00492578125,0.00170859375,3.9407161098438,6.6880836641319e-07,5.7814985899634e-07,7.8593488280256e-05,2.5100100227747e-05,-7.53002762796e-06,-7.5300283786355e-06,2.5100100227618e-05,-7.530027627906e-06,-7.5300283785603e-06,4.6370158085351e-06,0.0068395682956061,673240,22406,48,2
0.007488671875,0.002562890625,5.9911229602527,1.0167434679243e-06,8.7904293349803e-07,7.8593937700574e-05,3.8160015232591e-05,-1.1448000860161e-05,-1.1448002000356e-05,3.8160015232293e-05,-1.1448000860036e-05,-1.1448002000183e-05,4.6370423243339e-06,0.0068395682956061,673240,22406,48,2
